-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/ 0.5 x 0.5 Degree Climatologies 
22-year Additional Solar Parameter Monthly & Annual Climatologies (July 1983 - June 2005), 30-year Meteorological and Solar Monthly & Annual Climatologies (January 1984 - December 2013) 
Location: Latitude  10.411   Longitude -66.881 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 508.84 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
SG_DAY_HOUR_AVG SRB/FLASHFlux 1/2x1/2 Daylight Hours (hours) 
SI_EF_TILTED_SURFACE_LAT_PLUS15 SRB/FLASHFlux 1/2x1/2 Solar Irradiance for Equator Facing Latitude Plus 15 Tilt (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_HORIZONTAL SRB/FLASHFlux 1/2x1/2 Solar Irradiance for Equator Facing Horizontal Surface (kW-hr/m^2/day) 
SI_EF_TILTED_SURFACE_VERTICAL SRB/FLASHFlux 1/2x1/2 Solar Irradiance for Equator Facing Vertical Surface (kW-hr/m^2/day) 
SI_EF_OPTIMAL_ANG SRB/FLASHFlux 1/2x1/2 Solar Irradiance Optimal Angle (Degrees) 
SI_EF_TILTED_SURFACE_LATITUDE SRB/FLASHFlux 1/2x1/2 Solar Irradiance for Equator Facing Latitude Tilt (kW-hr/m^2/day) 
SI_EF_OPTIMAL SRB/FLASHFlux 1/2x1/2 Solar Irradiance Optimal (kW-hr/m^2/day) 
SI_EF_TRACKER SRB/FLASHFlux 1/2x1/2 Solar Irradiance Irradiance Tracking the Sun (kW-hr/m^2/day) 
SI_EF_OPTIMAL_ANG_ORT SRB/FLASHFlux 1/2x1/2 Solar Irradiance Tilted Surface Orientation (N/S Orientation) 
SI_EF_TILTED_SURFACE_LAT_MINUS15 SRB/FLASHFlux 1/2x1/2 Solar Irradiance for Equator Facing Latitude Minus 15 Tilt (kW-hr/m^2/day) 
Note(s): 
Northward facing tilted surfaces are designated negative (-) 
-END HEADER-
LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
10.41101,-66.88099,SG_DAY_HOUR_AVG,   11.60,   11.80,   12.07,   12.35,   12.60,   12.72,   12.67,   12.45,   12.18,   11.90,   11.65,   11.53,-999
10.41101,-66.88099,SI_EF_TILTED_SURFACE_HORIZONTAL,    5.35,    5.45,    6.11,    5.74,    5.41,    5.38,    5.62,    5.78,    5.71,    5.31,    4.96,    4.90,    5.48
10.41101,-66.88099,SI_EF_TILTED_SURFACE_LAT_MINUS15,    5.10,    5.28,    6.01,    5.74,    5.47,    5.46,    5.70,    5.80,    5.65,    5.19,    4.77,    4.67,    5.40
10.41101,-66.88099,SI_EF_TILTED_SURFACE_LATITUDE,    5.82,    5.73,    6.22,    5.65,    5.20,    5.10,    5.35,    5.62,    5.72,    5.51,    5.31,    5.36,    5.55
10.41101,-66.88099,SI_EF_TILTED_SURFACE_LAT_PLUS15,    6.21,    5.87,    6.09,    5.27,    4.67,    4.49,    4.73,    5.14,    5.49,    5.55,    5.58,    5.76,    5.41
10.41101,-66.88099,SI_EF_TILTED_SURFACE_VERTICAL,    4.03,    3.14,    2.38,    1.49,    1.46,    1.46,    1.45,    1.43,    1.90,    2.76,    3.45,    3.92,    2.40
10.41101,-66.88099,SI_EF_OPTIMAL,    6.28,    5.87,    6.22,    5.75,    5.50,    5.55,    5.77,    5.80,    5.73,    5.57,    5.60,    5.85,    5.79
10.41101,-66.88099,SI_EF_OPTIMAL_ANG,   34.50,   24.50,   12.00,   -2.00,  -12.00,  -16.50,  -15.00,   -6.50,    6.50,   20.00,   31.00,   36.50,    9.50
10.41101,-66.88099,SI_EF_OPTIMAL_ANG_ORT,   S,   S,   S,   N,   N,   N,   N,   N,   S,   S,   S,   S,   S
10.41101,-66.88099,SI_EF_TRACKER,    7.62,    7.15,    7.64,    6.79,    6.36,    6.39,    6.74,    6.87,    6.89,    6.68,    6.68,    6.98,    6.90
